;symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count;base;quot
41;NEOETH;0.00085200;1.280;0.06698273;0.06665300;0.06740000;7.00000000;0.06740000;2.88000000;0.06744900;18.94000000;0.06654800;0.06787800;0.06642900;10591.06000000;709.41806173;1578137300241;1578223700241;8271862;8273102;1241;NEO;ETH
42;IOTABTC;0.00000032;1.412;0.00002315;0.00002266;0.00002299;1382.00000000;0.00002297;702.00000000;0.00002299;191.00000000;0.00002267;0.00002386;0.00002262;6993677.00000000;161.88042742;1578137298936;1578223698936;20526383;20537159;10777;IOTA;BTC
43;IOTAETH;0.00002019;1.624;0.00127142;0.00124313;0.00126363;4.00000000;0.00126049;2695.00000000;0.00126363;221.00000000;0.00124344;0.00129555;0.00124107;799959.00000000;1017.08388277;1578137295517;1578223695517;5905614;5908347;2734;IOTA;ETH
44;LINKBTC;-0.00000075;-0.306;0.00024676;0.00024521;0.00024446;108.00000000;0.00024439;19.00000000;0.00024459;4.00000000;0.00024521;0.00025251;0.00024131;1990039.00000000;491.05946051;1578137298994;1578223698994;23938633;23956337;17705;LINK;BTC
45;LINKETH;-0.00003681;-0.273;0.01353502;0.01351282;0.01344249;2.00000000;0.01341060;342.00000000;0.01344249;12.00000000;0.01347930;0.01386835;0.01325095;141301.00000000;1912.51177720;1578137301732;1578223701732;5820727;5827257;6531;LINK;ETH
46;XVGBTC;-0.00000001;-2.128;0.00000047;0.00000047;0.00000046;173248.00000000;0.00000046;4593935.00000000;0.00000047;14695716.00000000;0.00000047;0.00000048;0.00000045;129366197.00000000;60.30645478;1578137298791;1578223698791;20721880;20723610;1731;XVG;BTC
47;XVGETH;-0.00000012;-0.464;0.00002575;0.00002615;0.00002573;7600.00000000;0.00002556;900.00000000;0.00002571;400000.00000000;0.00002585;0.00002628;0.00002495;9059793.00000000;233.28748725;1578137300994;1578223700994;6446879;6447576;698;XVG;ETH
48;SALTBTC;0.00000000;0;0;0.00004250;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532010;1576068932010;-1;-1;0;SALT;BTC
49;SALTETH;0.00000000;0;0;0.00113800;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532010;1576068932010;-1;-1;0;SALT;ETH
50;MDABTC;0.00000007;0.095;0.00007332;0.00007342;0.00007378;1.00000000;0.00007347;392.00000000;0.00007378;215.00000000;0.00007371;0.00007474;0.00007252;272917.00000000;20.00969910;1578137285259;1578223685259;10569856;10571708;1853;MDA;BTC
51;MDAETH;-0.00001570;-0.386;0.00403922;0.00406930;0.00405390;6.00000000;0.00403120;479.00000000;0.00405390;196.00000000;0.00406960;0.00410290;0.00397100;20281.00000000;81.91935500;1578137301739;1578223701739;2047433;2047820;388;MDA;ETH
52;MTLBTC;0.00000083;2.686;0.00003168;0.00003090;0.00003173;63.00000000;0.00003174;140.00000000;0.00003186;321.00000000;0.00003090;0.00003257;0.00003052;2309275.00000000;73.16185614;1578137301576;1578223701576;9429041;9443574;14534;MTL;BTC
53;MTLETH;0.00005200;3.081;0.00172758;0.00169200;0.00174000;62.58000000;0.00174200;321.00000000;0.00175200;263.12000000;0.00168800;0.00178800;0.00167500;558132.54000000;964.21987871;1578137300058;1578223700058;1212089;1219763;7675;MTL;ETH
54;SUBBTC;0.00000000;0;0;0.00000457;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532011;1576068932011;-1;-1;0;SUB;BTC
55;SUBETH;0.00000000;0;0;0.00012334;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532011;1576068932011;-1;-1;0;SUB;ETH
56;EOSBTC;0.00000060;0.167;0.00036066;0.00036040;0.00036090;1.34000000;0.00036080;328.10000000;0.00036090;298.66000000;0.00036030;0.00036480;0.00035860;851507.94000000;307.10470287;1578137300785;1578223700785;45984007;45992830;8824;EOS;BTC
57;SNTBTC;-0.00000003;-2.400;0.00000122;0.00000125;0.00000122;734.00000000;0.00000121;207134.00000000;0.00000122;85131.00000000;0.00000125;0.00000125;0.00000121;6415019.00000000;7.85478661;1578137293477;1578223693477;6067905;6068392;488;SNT;BTC
58;ETCETH;0.00128400;3.696;0.03533632;0.03470000;0.03602600;1.11000000;0.03603400;114.51000000;0.03612900;1.33000000;0.03474200;0.03635400;0.03426900;28402.42000000;1003.63701046;1578137294055;1578223694055;4272006;4275168;3163;ETC;ETH
59;ETCBTC;0.00002320;3.664;0.00064590;0.00063320;0.00065640;90.56000000;0.00065630;187.25000000;0.00065650;15.40000000;0.00063320;0.00066480;0.00062380;680193.84000000;439.33962359;1578137298223;1578223698223;17636994;17651696;14703;ETC;BTC
60;MTHBTC;0.00000006;4.724;0.00000130;0.00000128;0.00000133;236.00000000;0.00000132;40318.00000000;0.00000133;277967.00000000;0.00000127;0.00000134;0.00000126;27455670.00000000;35.67611196;1578137265363;1578223665363;5291480;5293831;2352;MTH;BTC
61;MTHETH;0.00000276;3.924;0.00007097;0.00007029;0.00007309;28.00000000;0.00007253;301.00000000;0.00007316;3706.00000000;0.00007033;0.00007316;0.00006937;695611.00000000;49.36435370;1578137221635;1578223621635;1113910;1114156;247;MTH;ETH
62;ENGBTC;-0.00000028;-0.529;0.00005264;0.00005295;0.00005261;119.00000000;0.00005249;185.00000000;0.00005261;12.00000000;0.00005289;0.00005486;0.00005085;736362.00000000;38.76271963;1578137242162;1578223642162;6637906;6640820;2915;ENG;BTC
63;ENGETH;-0.00004900;-1.669;0.00288638;0.00293510;0.00288750;1.00000000;0.00287060;1453.00000000;0.00288750;24.00000000;0.00293650;0.00301100;0.00280100;37539.00000000;108.35194880;1578137301278;1578223701278;1710782;1711423;642;ENG;ETH
64;DNTBTC;0.00000001;1.351;0.00000075;0.00000075;0.00000075;205479.00000000;0.00000074;1688617.00000000;0.00000075;179568.00000000;0.00000074;0.00000077;0.00000073;15905709.00000000;11.96730991;1578137265353;1578223665353;5431778;5432379;602;DNT;BTC
65;ZECBTC;0.00025700;6.658;0.00403913;0.00386200;0.00411700;3.78400000;0.00411700;11.69700000;0.00412000;58.20200000;0.00386000;0.00416400;0.00383900;63706.38000000;257.31859356;1578137294338;1578223694338;10360686;10373202;12517;ZEC;BTC
66;ZECETH;0.01411000;6.650;0.22115644;0.21222000;0.22628000;0.01400000;0.22611000;18.02700000;0.22658000;16.78200000;0.21217000;0.22820000;0.21054000;3580.20700000;791.78583525;1578137301052;1578223701052;2047417;2049800;2384;ZEC;ETH
67;BNTBTC;-0.00000031;-1.031;0.00003011;0.00003015;0.00002976;7.00000000;0.00002973;24.00000000;0.00002989;1267.00000000;0.00003007;0.00003062;0.00002970;293807.00000000;8.84637202;1578137299607;1578223699607;2023702;2024424;723;BNT;BTC
68;ASTBTC;0.00000002;0.787;0.00000259;0.00000254;0.00000256;323.00000000;0.00000254;474.00000000;0.00000256;30888.00000000;0.00000254;0.00000266;0.00000245;23174696.00000000;60.07561717;1578137218687;1578223618687;6005115;6008141;3027;AST;BTC
69;ASTETH;0.00000120;0.857;0.00014001;0.00014000;0.00014120;770.00000000;0.00013920;2428.00000000;0.00014120;118.00000000;0.00014000;0.00014630;0.00013500;472853.00000000;66.20447870;1578136929010;1578223329010;1499865;1500049;185;AST;ETH
70;DASHBTC;0.00068700;11.611;0.00629556;0.00592400;0.00660400;10.00000000;0.00660400;0.02900000;0.00660500;0.80000000;0.00591700;0.00666700;0.00588900;456560.25500000;2874.30199260;1578137298311;1578223698311;10503369;10587284;83916;DASH;BTC
71;DASHETH;0.03863000;11.888;0.34405282;0.32412000;0.36359000;0.00700000;0.36272000;1.67800000;0.36358000;0.16400000;0.32496000;0.36571000;0.32288000;22198.17200000;7637.34370897;1578137290295;1578223690295;2021285;2029776;8492;DASH;ETH
72;OAXBTC;0.00000027;3.863;0.00000728;0.00000698;0.00000726;276.00000000;0.00000724;16.00000000;0.00000726;1172.00000000;0.00000699;0.00000755;0.00000694;8450607.00000000;61.49716107;1578137259799;1578223659799;5378929;5384442;5514;OAX;BTC
73;ICNBTC;0.00000000;0;0;0.00005742;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532014;1576068932014;-1;-1;0;ICN;BTC
74;BTGBTC;-0.00000400;-0.549;0.00072791;0.00072900;0.00072400;24.79000000;0.00072400;48.61000000;0.00072500;10.05000000;0.00072800;0.00073800;0.00072000;17538.96000000;12.76685215;1578137226502;1578223626502;6615470;6617382;1913;BTG;BTC
75;BTGETH;-0.00004200;-0.104;0.03987845;0.04020000;0.04015800;0.16000000;0.03967900;48.61000000;0.04015500;2.29000000;0.04020000;0.04056600;0.03958300;552.79000000;22.04440842;1578137297690;1578223697690;1065460;1065706;247;BTG;ETH
76;EVXBTC;0.00000054;1.602;0.00003436;0.00003371;0.00003425;860.00000000;0.00003423;139.00000000;0.00003425;85.00000000;0.00003371;0.00003550;0.00003304;2803570.00000000;96.32897217;1578137236265;1578223636265;7310896;7318722;7827;EVX;BTC
77;EVXETH;0.00003080;1.663;0.00185712;0.00185250;0.00188330;219.00000000;0.00188040;310.00000000;0.00188620;38.00000000;0.00185250;0.00195190;0.00181700;328874.00000000;610.75755570;1578137271323;1578223671323;1518599;1521088;2490;EVX;ETH
78;REQBTC;-0.00000004;-2.532;0.00000164;0.00000158;0.00000154;212.00000000;0.00000153;14328.00000000;0.00000154;287.00000000;0.00000158;0.00000172;0.00000149;64540020.00000000;105.61991502;1578136868430;1578223268430;4928907;4934869;5963;REQ;BTC
79;REQETH;-0.00000200;-2.292;0.00008829;0.00008727;0.00008527;118.00000000;0.00008467;119.00000000;0.00008527;747.00000000;0.00008727;0.00009351;0.00008200;1635700.00000000;144.41476377;1578136831554;1578223231554;2186202;2186995;794;REQ;ETH
80;VIBBTC;0.00000006;2.290;0.00000268;0.00000263;0.00000268;44332.00000000;0.00000268;35105.00000000;0.00000269;53.00000000;0.00000262;0.00000279;0.00000261;19889072.00000000;53.35515371;1578137074488;1578223474488;5665437;5667698;2262;VIB;BTC
81;VIBETH;0.00000401;2.772;0.00014635;0.00014325;0.00014865;23.00000000;0.00014680;1234.00000000;0.00014865;154.00000000;0.00014464;0.00015266;0.00014400;2361917.00000000;345.67647054;1578137298118;1578223698118;1413174;1414060;887;VIB;ETH
82;HSRETH;0.00000000;0;0;0.01247400;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532021;1576068932021;-1;-1;0;HSR;ETH
83;TRXBTC;0.00000001;0.546;0.00000183;0.00000183;0.00000184;65067.00000000;0.00000183;1845619.00000000;0.00000184;5194740.00000000;0.00000183;0.00000186;0.00000181;102594196.00000000;187.83610944;1578137297250;1578223697250;46298437;46303657;5221;TRX;BTC
84;TRXETH;0.00000070;0.699;0.00010038;0.00010009;0.00010079;135.00000000;0.00010079;29315.00000000;0.00010084;109260.00000000;0.00010009;0.00010192;0.00009936;77438266.00000000;7772.90696541;1578137288836;1578223688836;19557151;19570144;12994;TRX;ETH
85;POWRBTC;-0.00000010;-1.969;0.00000502;0.00000508;0.00000498;2581.00000000;0.00000495;24391.00000000;0.00000497;3358.00000000;0.00000508;0.00000517;0.00000490;2894271.00000000;14.51876406;1578137282529;1578223682529;6829112;6830779;1668;POWR;BTC
86;POWRETH;-0.00000680;-2.433;0.00027533;0.00027928;0.00027272;12.00000000;0.00027143;1700.00000000;0.00027272;196.00000000;0.00027952;0.00028261;0.00027058;169809.00000000;46.75356239;1578137227824;1578223627824;1611405;1611756;352;POWR;ETH
