date;symbol;quot;base;side;price;target;closed;id
2020-01-05 06:32:42+00:00;USDT_MTL;USDT;MTL;close;0.2305;1.5;True;78803
2020-01-05 06:32:41+00:00;USDT_MTL;USDT;MTL;close;0.22968001;1.5;True;77052
2020-01-05 06:32:38+00:00;USDT_LTC;USDT;LTC;close;42.92;1.5;True;78718
2020-01-05 06:32:37+00:00;USDT_LTC;USDT;LTC;close;42.3168;1.5;True;76717
2020-01-05 06:32:34+00:00;USDT_IOTX;USDT;IOTX;close;0.003517;1.5;True;78435
2020-01-05 06:32:33+00:00;USDT_IOTX;USDT;IOTX;close;0.00345492;1.5;True;76270
2020-01-05 06:32:33+00:00;USDT_IOTA;USDT;IOTA;close;0.1743;1.5;True;78802
2020-01-05 06:32:31+00:00;USDT_IOST;USDT;IOST;close;0.00489163;1.5;True;78226
2020-01-05 06:32:29+00:00;USDT_ICX;USDT;ICX;close;0.113448;1.5;True;77575
2020-01-05 06:32:22+00:00;USDT_ETC;USDT;ETC;close;4.7776;1.5;True;78833
2020-01-05 06:32:20+00:00;USDT_EOS;USDT;EOS;close;2.6749;1.5;True;78492
2020-01-05 06:32:08+00:00;USDT_CVC;USDT;CVC;close;0.01958613;1.5;True;78565
2020-01-05 06:32:01+00:00;USDT_BTC;USDT;BTC;close;7449.0;1.5;True;78257
2020-01-05 06:32:00+00:00;USDT_BTC;USDT;BTC;close;7279.45389805;1.5;True;76371
2020-01-05 06:31:45+00:00;USDT_BNB;USDT;BNB;close;13.92;1.5;True;78763
2020-01-05 06:30:57+00:00;USDT_BAT;USDT;BAT;close;0.19027868;1.5;True;78219
2020-01-05 06:30:54+00:00;USDT_ANKR;USDT;ANKR;close;0.00141255;1.5;True;78325
2020-01-05 06:30:53+00:00;USDT_ANKR;USDT;ANKR;close;0.00153498;1.5;True;76059
2020-01-05 06:30:52+00:00;USDT_ALGO;USDT;ALGO;close;0.2344;1.5;True;78820
2020-01-05 06:30:51+00:00;USDT_ADA;USDT;ADA;close;0.03465;1.5;True;78384
2020-01-05 06:30:50+00:00;USDC_XRP;USDC;XRP;close;0.18935696;1.5;True;76929
2020-01-05 06:30:27+00:00;USDC_TRX;USDC;TRX;close;0.01362;1.5;True;78520
2020-01-05 06:30:19+00:00;TUSD_BTC;TUSD;BTC;buy;7450.26;7562.01390001;False;78979
2020-01-05 06:30:18+00:00;USDC_ETH;USDC;ETH;close;135.67;1.5;True;78533
2020-01-05 06:30:17+00:00;USDC_EOS;USDC;EOS;close;2.6811;1.5;True;78421
2020-01-05 06:30:05+00:00;USDC_BTC;USDC;BTC;close;7436.44;1.5;True;78258
2020-01-05 06:30:05+00:00;BTC_RLC;BTC;RLC;buy;5.317e-05;5.397e-05;False;78971
2020-01-05 06:29:54+00:00;USDC_BNB;USDC;BNB;close;13.9671;1.5;True;78834
2020-01-05 06:29:51+00:00;TUSD_XRP;TUSD;XRP;close;0.1899094;1.5;True;77497
2020-01-05 06:29:29+00:00;TUSD_TRX;TUSD;TRX;close;0.01353;1.5;True;78237
2020-01-05 06:29:16+00:00;USDT_NULS;USDT;NULS;buy;0.233;0.23649501;False;78977
2020-01-05 06:28:51+00:00;TUSD_LTC;TUSD;LTC;close;43.05;1.5;True;78774
2020-01-05 06:28:50+00:00;TUSD_ETH;TUSD;ETH;close;135.75;1.5;True;78667
2020-01-05 06:28:41+00:00;TUSD_BTC;TUSD;BTC;close;7430.36;1.5;True;78260
2020-01-05 06:28:41+00:00;TUSD_BNB;TUSD;BNB;close;13.9763;1.5;True;78835
2020-01-05 06:28:35+00:00;TUSD_ALGO;TUSD;ALGO;close;0.236;1.5;True;78839
2020-01-05 06:28:34+00:00;TUSD_ADA;TUSD;ADA;close;0.03447;1.5;True;78537
2020-01-05 06:22:23+00:00;USDT_VET;USDT;VET;buy;0.005609;0.00569314;False;78975
2020-01-05 06:22:20+00:00;USDT_ETH;USDT;ETH;buy;136.06;138.10090001;False;78974
2020-01-05 06:22:16+00:00;ETH_MTL;ETH;MTL;buy;0.001758;0.00178438;False;78973
2020-01-05 06:20:05+00:00;USDT_DENT;USDT;DENT;buy;0.000169;0.00017154;False;78957
2020-01-05 06:03:28+00:00;ETH_MANA;ETH;MANA;close;0.00026851;1.5;True;78832
2020-01-05 06:00:15+00:00;USDT_CTXC;USDT;CTXC;buy;0.0699;0.07094851;False;78968
2020-01-05 05:59:18+00:00;ETH_IOTX;ETH;IOTX;close;2.606e-05;1.55;True;77613
2020-01-05 05:57:07+00:00;BTC_ETC;BTC;ETC;buy;0.0006525;0.00066229;False;78964
2020-01-05 05:56:31+00:00;ETH_ICX;ETH;ICX;close;0.00086;1.5;True;78408
2020-01-05 05:54:07+00:00;USDT_ERD;USDT;ERD;buy;0.0016966;0.00172205;False;78961
2020-01-05 05:52:15+00:00;ETH_ETC;ETH;ETC;close;0.03444156;1.5;True;77131
2020-01-05 05:49:27+00:00;ETH_DATA;ETH;DATA;close;0.00013036;1.51;True;78866
2020-01-05 05:47:30+00:00;ETH_BTG;ETH;BTG;close;0.04037806;1.5;True;78503
2020-01-05 05:46:10+00:00;BNB_ZEC;BNB;ZEC;buy;2.201;2.23401501;False;78960
2020-01-05 05:41:16+00:00;BUSD_XRP;BUSD;XRP;close;0.19170305;1.5;True;77033
2020-01-05 05:41:15+00:00;BUSD_TRX;BUSD;TRX;close;0.01361;1.5;True;78560
2020-01-05 05:41:14+00:00;BUSD_LTC;BUSD;LTC;close;42.73;1.5;True;78582
2020-01-05 05:41:13+00:00;BUSD_ETH;BUSD;ETH;close;135.71;1.5;True;78411
2020-01-05 05:41:12+00:00;BUSD_EOS;BUSD;EOS;close;2.6861;1.5;True;78573
2020-01-05 05:41:11+00:00;BUSD_BTC;BUSD;BTC;close;7449.59;1.5;True;78642
2020-01-05 05:41:10+00:00;BUSD_BCH;BUSD;BCH;close;227.18;1.5;True;78633
2020-01-05 05:37:40+00:00;ETH_MFT;ETH;MFT;buy;6.36e-06;6.46e-06;False;78958
2020-01-05 05:34:07+00:00;ETH_GRS;ETH;GRS;buy;0.00121422;0.00123244;False;78956
2020-01-05 05:21:37+00:00;USDT_OMG;USDT;OMG;buy;0.6298;0.63924701;False;78954
2020-01-05 05:18:37+00:00;BTC_POLY;BTC;POLY;buy;2.38e-06;2.42e-06;True;78953
2020-01-05 05:18:20+00:00;BTC_WABI;BTC;WABI;close;1.897e-05;1.49;True;76517
2020-01-05 05:12:40+00:00;BTC_TOMO;BTC;TOMO;close;6.524e-05;1.51;True;78882
2020-01-05 05:11:08+00:00;BNB_WABI;BNB;WABI;buy;0.010769;0.01093054;True;78951
2020-01-05 05:00:06+00:00;BTC_REP;BTC;REP;close;0.00125;1.5;True;78819
2020-01-05 04:56:06+00:00;BTC_VIA;BTC;VIA;buy;2.499e-05;2.537e-05;False;78947
2020-01-05 04:42:18+00:00;BTC_MTL;BTC;MTL;close;3.144e-05;1.49;True;77248
2020-01-05 04:36:05+00:00;ETH_AGI;ETH;AGI;buy;0.00013691;0.00013897;False;78943
2020-01-05 04:31:37+00:00;BTC_IOTX;BTC;IOTX;close;4.7e-07;2.81;True;77184
2020-01-05 04:26:06+00:00;BTC_DATA;BTC;DATA;buy;2.4e-06;2.44e-06;False;78941
