date;symbol_x;quot;base;side;price;target;closed;id;symbol_y;bidPrice;askPrice;profit_in_%;profit_in_$
2020-01-04 04:57:47+00:00;ETH_ADX;ETH;ADX;buy;0.0006466;0.0006563;False;78546;ADXETH;0.0006339;0.0006368;-1.9641200123724047;-0.19641200123724048
2020-01-04 04:50:48+00:00;BTC_XMR;BTC;XMR;buy;0.006886;0.00698929;False;78543;XMRBTC;0.007043;0.007045;2.2799883822248006;0.22799883822248007
2020-01-04 04:32:07+00:00;BNB_AION;BNB;AION;buy;0.004277;0.00434116;False;78535;AIONBNB;0.00399;0.004003;-6.7103109656301285;-0.6710310965630129
2020-01-04 04:21:38+00:00;ETH_APPC;ETH;APPC;buy;0.0002059;0.00020899;False;78528;APPCETH;0.000197;0.0001987;-4.322486644001955;-0.43224866440019555
2020-01-04 04:08:04+00:00;ETH_INS;ETH;INS;buy;0.00199;0.00201985;False;78514;INSETH;0.001812;0.001828;-8.94472361809045;-0.894472361809045
2020-01-04 04:05:05+00:00;ETH_GNT;ETH;GNT;buy;0.00021686;0.00022012;False;78508;GNTETH;0.00020878;0.00021089;-3.725906114543946;-0.3725906114543946
2020-01-04 04:02:04+00:00;BTC_CVC;BTC;CVC;buy;2.67e-06;2.72e-06;False;78507;CVCBTC;2.54e-06;2.55e-06;-4.868913857677896;-0.48689138576778956
2020-01-04 03:59:05+00:00;BTC_STORJ;BTC;STORJ;buy;1.384e-05;1.405e-05;False;78505;STORJBTC;1.348e-05;1.353e-05;-2.6011560693641513;-0.2601156069364151
2020-01-04 03:52:05+00:00;BTC_ANKR;BTC;ANKR;buy;2e-07;2.1e-07;False;78502;ANKRBTC;2e-07;2.1e-07;0.0;0.0
2020-01-04 02:58:05+00:00;BNB_ICX;BNB;ICX;buy;0.00831;0.00843465;False;78451;ICXBNB;0.00823;0.00833;-0.9626955475331016;-0.09626955475331016
2020-01-04 02:54:04+00:00;BNB_EOS;BNB;EOS;buy;0.194;0.19691001;False;78446;EOSBNB;0.1909;0.1913;-1.5979381443299019;-0.15979381443299018
2020-01-04 02:53:09+00:00;BNB_LTC;BNB;LTC;buy;3.1;3.14650001;False;78471;LTCBNB;3.063;3.07;-1.1935483870967687;-0.11935483870967686
2020-01-04 02:52:40+00:00;BTC_WAN;BTC;WAN;buy;2.45e-05;2.487e-05;False;78470;WANBTC;2.4e-05;2.401e-05;-2.040816326530603;-0.20408163265306029
2020-01-04 02:47:09+00:00;ETH_WAN;ETH;WAN;buy;0.0013460000000000002;0.00136619;False;78468;WANETH;0.001317;0.00132;-2.154531946508186;-0.2154531946508186
2020-01-04 02:40:13+00:00;BTC_XLM;BTC;XLM;buy;6.22e-06;6.32e-06;False;78466;XLMBTC;6.12e-06;6.13e-06;-1.6077170418006403;-0.16077170418006403
2019-12-31 01:07:06+00:00;BTC_XLM;BTC;XLM;buy;6.29e-06;6.39e-06;False;76855;XLMBTC;6.12e-06;6.13e-06;-2.7027027027026946;-0.27027027027026945
2020-01-04 02:38:15+00:00;USDT_XLM;USDT;XLM;buy;0.04541;0.04609116;False;78464;XLMUSDT;0.04549;0.0455;0.1761726491962179;0.01761726491962179
2020-01-04 02:37:24+00:00;BTC_ENJ;BTC;ENJ;buy;1.074e-05;1.091e-05;False;78463;ENJBTC;1.044e-05;1.049e-05;-2.7932960893854784;-0.27932960893854786
2019-12-31 14:41:07+00:00;BTC_ENJ;BTC;ENJ;buy;1.174e-05;1.192e-05;False;77166;ENJBTC;1.044e-05;1.049e-05;-11.073253833049392;-1.1073253833049392
2020-01-04 02:20:30+00:00;BNB_ENJ;BNB;ENJ;buy;0.005782;0.00586873;False;78452;ENJBNB;0.005541;0.005558;-4.168107921134549;-0.4168107921134549
2019-12-31 13:04:10+00:00;BNB_ENJ;BNB;ENJ;buy;0.006095000000000001;0.00618643;False;77146;ENJBNB;0.005541;0.005558;-9.08941755537326;-0.9089417555373259
2020-01-04 02:17:07+00:00;BNB_MATIC;BNB;MATIC;buy;0.0011269;0.00114381;False;78423;MATICBNB;0.0010593;0.001062;-5.998757653740341;-0.5998757653740341
